label,count
bird,3511
fauna,3468
beak,3364
wildlife,2930
perching bird,2506
organism,1847
chickadee,1796
finch,1651
feather,1559
branch,1423
tree,1139
twig,1001
old world flycatcher,955
flora,557
bird food,489
bird feeder,445
plant,434
jay,378
wing,361
grass,307
leaf,277
emberizidae,271
bird supply,243
songbird,242
sky,211
ecosystem,211
sparrow,193
bluebird,186
wren,176
close up,164
grass family,116
cage,97
wood,95
spring,93
water,85
parakeet,83
macro photography,78
piciformes,70
european robin,69
coraciiformes,64
birdhouse,58
house sparrow,54
mammal,51
blue jay,49
vegetation,46
flower,45
common pet parakeet,44
trunk,38
plant stem,37
blossom,37
woodland,36
woodpecker,33
wall,33
robin,33
terrestrial animal,32
eye,30
deer,30
forest,29
insect,29
nature reserve,27
soil,27
brambling,25
parrot,24
yellow,24
winter,24
morning,22
galliformes,21
blue,19
deciduous,19
art,18
house finch,17
pigeons and doves,17
woody plant,17
window,16
green,16
black and white,16
goldfinch,16
reflection,15
macaw,15
pheasant,15
musk deer,15
white tailed deer,15
wallaby,15
national park,15
snout,14
shrub,14
facade,13
house,13
stock dove,13
biome,13
lark,12
herb,12
vertebrate,12
monochrome,12
nightingale,11
street art,11
net,11
plant community,11
water bird,11
jungle,11
mural,10
artwork,10
painting,10
outdoor structure,10
bird nest,10
snow,10
line,10
prunus spinosa,10
phasianidae,10
fowl,10
autumn,10
angle,10
monochrome photography,10
building,9
pollinator,9
cloud,9
wetland,8
roof,8
lovebird,8
squirrel,8
shrubland,8
old world oriole,8
water resources,7
architecture,7
wire fencing,7
chain link fencing,7
freezing,7
rodent,7
iron,7
nature,7
zoo,7
blackbird,7
door,7
garden,7
photography,7
bank,6
landscape,6
pond,6
graffiti,6
sunlight,6
computer wallpaper,6
subshrub,6
glass,6
black,6
public utility,6
still life photography,6
crane like bird,6
crane,6
rock,5
hummingbird,5
landmark,5
neighbourhood,5
roller,5
cherry blossom,5
cuculiformes,5
picture frame,5
font,5
daytime,5
tail,5
ecoregion,5
emydidae,5
tortoise,5
fawn,5
duck,5
rabits and hares,5
rabbit,5
domestic rabbit,5
hare,5
amphibian,5
toad,5
domesticated turkey,5
wild turkey,5
turkey,5
grouse,5
kangaroo,5
macropodidae,5
daylighting,5
stock photography,5
hand,5
letter box,5
wood stain,5
watercourse,4
advertising,4
fruit,4
fox squirrel,4
red,4
car,4
vehicle,4
membrane winged insect,4
nest,4
river,4
darkness,4
cow parsley,3
pine family,3
falcon,3
text,3
recreation,3
berry,3
perico,3
flowering plant,3
property,3
flowerpot,3
prairie,3
sign,3
pattern,3
cat,3
cat like mammal,3
crow,3
metal,3
lake,3
reservoir,3
yard,3
light fixture,3
scrap,3
evergreen,3
body of water,3
number,3
structure,3
conifer,2
hawk,2
brick,2
geology,2
bedrock,2
marine biology,2
symmetry,2
bird bath,2
pink,2
phragmites,2
mesh,2
bird of prey,2
invertebrate,2
moths and butterflies,2
illustration,2
paint,2
chipmunk,2
rainforest,2
aquifoliaceae,2
turquoise,2
town,2
transport,2
home,2
grassland,2
fixed link,2
steel,2
motor vehicle,2
automotive exterior,2
whiskers,2
street light,2
wire,2
seabird,2
stone wall,2
lorikeet,2
finger,2
stream,2
signage,2
brickwork,2
atmosphere,2
larch,2
asphalt,2
road surface,2
swallow,2
ducks geese and swans,2
waterfowl,2
sea,2
waterway,2
ocean,2
coast,2
shore,2
beach,2
swamp,2
moss,1
urban area,1
owl,1
snail,1
arch,1
emmer,1
grain,1
rye,1
food grain,1
rose hip,1
apple,1
eagle,1
caterpillar,1
larva,1
pest,1
dragonflies and damseflies,1
hawthorn,1
home accessories,1
rectangle,1
wildflower,1
outhouse,1
body jewelry,1
formation,1
bud,1
watercolor paint,1
drawing,1
paper,1
flightless bird,1
aqua,1
chalk,1
graphics,1
electric blue,1
downtown,1
real estate,1
fun,1
leisure,1
girl,1
vacation,1
residential area,1
crochet,1
stuffed toy,1
toy,1
cut flowers,1
birch,1
non vascular land plant,1
iris,1
photograph,1
small to medium sized cats,1
kitten,1
animal shelter,1
photo caption,1
outcrop,1
electrical supply,1
electricity,1
nail,1
hippophae,1
fruit tree,1
crow like bird,1
rook,1
american crow,1
new caledonian crow,1
raven,1
fish pond,1
stream bed,1
creek,1
orange,1
house numbering,1
siding,1
sphere,1
shadbush,1
mason jar,1
silhouette,1
evening,1
clams oysters mussels and scallops,1
food,1
animal source foods,1
oyster,1
seafood,1
clam,1
ice cream,1
mussel,1
moon,1
spruce,1
chokeberry,1
huckleberry,1
blueberry,1
cherry,1
bilberry,1
tundra,1
modern art,1
acrylic paint,1
visual arts,1
grapevine family,1
grape,1
vitis,1
purple,1
butterfly,1
nectar,1
peafowl,1
bricklayer,1
field,1
pasture,1
rural area,1
moisture,1
groundcover,1
sports equipment,1
harrier,1
lemon basil,1
sorbus,1
crop,1
freshwater aquarium,1
mode of transport,1
bicycle accessory,1
blackberry,1
bramble,1
lighting,1
road,1
street,1
barbed wire,1
commodity,1
reptile,1
egg,1
petal,1
waste,1
