label,count
bird,1057
fauna,1030
beak,1012
wildlife,741
feather,540
pigeons and doves,527
stock dove,321
organism,282
wing,280
tree,279
grass,243
branch,200
seabird,176
sky,160
ecosystem,123
perching bird,122
flora,105
old world flycatcher,103
finch,91
plant,90
leaf,84
water bird,83
twig,81
close up,79
emberizidae,71
sparrow,59
bird of prey,50
cuculiformes,42
gull,41
grass family,41
blackbird,40
house sparrow,36
wren,34
water,32
tail,32
nature reserve,24
bird feeder,21
landscape,20
bird food,20
charadriiformes,19
crow,19
wood,18
vegetation,18
ducks geese and swans,18
hawk,17
garden,17
falcon,17
duck,15
black and white,15
flower,14
plant community,14
cloud,13
ecoregion,13
vulture,13
flight,12
snow,11
shorebird,11
terrestrial animal,11
monochrome photography,11
monochrome,11
freezing,10
atmosphere,10
nightingale,10
bird nest,10
eagle,9
nest,9
nature,9
chickadee,9
stock photography,9
raven,9
shrub,8
soil,8
american crow,8
pollinator,8
macro photography,8
winter,7
jungle,7
window,7
roof,7
green,7
woodland,7
horizon,7
morning,7
spring,7
silhouette,7
visual arts,7
galliformes,6
biome,6
outdoor structure,6
rock,6
eye,6
sunset,6
sunrise,6
shrubland,6
daytime,6
crow like bird,6
bird supply,6
hummingbird,6
house finch,6
buzzard,6
meadow,5
forest,5
dusk,5
woody plant,5
robin,5
grassland,5
insect,5
parakeet,5
starling,5
invertebrate,5
petal,5
botanical garden,5
parrot,4
deciduous,4
lawn,4
dawn,4
photography,4
new caledonian crow,4
snout,4
technology,4
public utility,4
european robin,4
evening,4
still life photography,4
art,4
membrane winged insect,4
lark,4
field,4
condor,4
flowering plant,4
jay,3
autumn,3
house,3
bird bath,3
zoo,3
darkness,3
goose,3
european herring gull,3
glass,3
afterglow,3
photo caption,3
new world monkey,3
line,3
computer wallpaper,3
drawing,3
illustration,3
artwork,3
cinclidae,3
water ouzel,3
painting,3
yard,3
reptile,3
mode of transport,3
overhead power line,3
electricity,3
electrical supply,3
ciconiiformes,2
car,2
vehicle,2
facade,2
daylighting,2
albatross,2
reflection,2
street light,2
monument,2
egret,2
angle,2
common pet parakeet,2
red sky at morning,2
blue,2
azure,2
graphics,2
ruffed grouse,2
vertebrate,2
wildflower,2
girl,2
backyard,2
landscaping,2
recreation,2
mouth,2
accipitriformes,2
river,2
cage,2
pole,2
neck,1
winter storm,1
lovebird,1
urtica,1
herb,1
chicken,1
rainforest,1
evergreen,1
tortoise,1
waterfowl,1
pasture,1
calm,1
fungus,1
hornbill,1
motor vehicle,1
road,1
wall,1
architecture,1
brick,1
siding,1
kite,1
oyster mushroom,1
mammal,1
statue,1
wetland,1
sunlight,1
table,1
door,1
television antenna,1
antenna,1
building,1
ceiling,1
bird migration,1
sun,1
scrap,1
metal,1
pink,1
crop,1
plant stem,1
honeysuckle,1
honeysuckle family,1
annual plant,1
red,1
purple,1
fun,1
square,1
trunk,1
paint,1
lighting,1
walkway,1
courtyard,1
rose family,1
gardening,1
screenshot,1
tourism,1
night,1
pest,1
tulip,1
marine biology,1
nose,1
organ,1
iris,1
sand,1
property,1
sea turtle,1
turtle,1
crocodilia,1
alligator,1
marine mammal,1
crocodile,1
animal source foods,1
vacation,1
meteorological phenomenon,1
hill,1
standing,1
rural area,1
wire,1
mast,1
owl,1
cool,1
product,1
body of water,1
pond,1
stream,1
watercourse,1
frost,1
fur,1
pine family,1
conifer,1
macaw,1
automotive exterior,1
hardware,1
bumper,1
auto part,1
machine,1
