label,count
bird,2228
fauna,2218
beak,2153
wildlife,1921
perching bird,1685
chickadee,1286
organism,1244
finch,1119
old world flycatcher,1047
feather,853
branch,790
tree,728
twig,553
emberizidae,420
wing,354
flora,314
bird feeder,253
bird food,224
plant,218
ecosystem,210
leaf,182
wren,145
grass,133
bird supply,105
sky,88
songbird,76
jay,71
sparrow,69
grass family,59
close up,59
cage,59
water,49
macro photography,48
insect,48
vegetation,40
wood,38
forest,34
woodland,34
invertebrate,31
spring,31
coraciiformes,31
piciformes,30
jungle,29
winter,29
nature reserve,26
rainforest,21
pollinator,20
water bird,20
crane like bird,19
woody plant,19
deciduous,19
birdhouse,19
mammal,19
snow,19
plant stem,18
bluebird,18
trunk,17
ecoregion,17
nightingale,17
house sparrow,16
butterfly,16
moths and butterflies,16
european robin,16
eye,16
morning,15
heron,15
ciconiiformes,15
flower,14
grassland,14
membrane winged insect,13
brush footed butterfly,13
reflection,13
green,13
bird nest,13
snout,13
terrestrial animal,13
crane,13
freezing,13
pest,12
prairie,12
nest,12
plant community,12
squirrel,12
rodent,12
deer,12
sunlight,12
biome,12
lycaenid,11
bird of prey,11
outdoor structure,10
fox squirrel,10
savanna,10
autumn,10
pelecaniformes,10
river,9
nature,9
yellow,9
parakeet,9
window,9
falcon,9
robin,9
owl,9
stork,9
seabird,8
wetland,8
waterway,8
lake,8
cuculiformes,8
shorebird,7
moth,7
tail,7
lark,7
old world oriole,7
black and white,7
shrub,7
chipmunk,7
green jay,7
plane tree family,6
wall,6
body of water,6
photography,6
brambling,6
computer wallpaper,6
wilderness,6
house finch,6
hawk,6
swallow,6
rabbit,6
rabits and hares,6
hare,6
domestic rabbit,6
arthropod,5
dragonfly,5
dragonflies and damseflies,5
nectar,5
herb,5
woodpecker,5
ducks geese and swans,5
elk,5
landscape,5
blackbird,5
maple leaf,5
ibis,4
pond,4
art,4
phragmites,4
net,4
vehicle,4
egg,4
duck,4
cloud,4
monochrome photography,4
old growth forest,4
little blue heron,4
charadriiformes,3
painting,3
building,3
bank,3
bayou,3
soil,3
crow like bird,3
blue,3
vertebrate,3
headgear,3
fun,3
girl,3
waterfowl,3
blossom,3
common pet parakeet,3
still life photography,3
whiskers,3
glass,3
shrubland,3
flowering plant,3
fungus,3
water resources,3
watercourse,3
pigeons and doves,3
grapevine family,3
house,3
frost,3
fruit tree,2
plant pathology,2
fly,2
damselfly,2
facade,2
rock,2
birch,2
honey bee,2
bee,2
pollen,2
iron,2
font,2
metal,2
rook,2
crow,2
motor vehicle,2
perico,2
finger,2
hand,2
nail,2
sunglasses,2
cap,2
antler,2
antelope,2
angle,2
bulbul,2
wire fencing,2
brickwork,2
evergreen,2
bird bath,2
hummingbird,2
monochrome,2
parrot,2
wood stain,2
petal,2
advertising,2
garden,2
magpie,2
white stork,2
eurasian magpie,2
water feature,2
macaw,2
recreation,2
stock dove,2
sunset,2
sunrise,2
dawn,2
evening,2
grape leaves,2
home,2
blue jay,2
shore,2
sea,2
beach,2
marsh,2
goose,2
canal,2
atmosphere,2
starling,2
horizon,2
subshrub,1
sandpiper,1
stilt,1
aquatic plant,1
picture frame,1
modern art,1
tower,1
city,1
public space,1
bicycle,1
bicycle frame,1
line,1
road bicycle,1
chair,1
field,1
crop,1
gull,1
water transportation,1
real estate,1
motor ship,1
cricket,1
thistle,1
silybum,1
noxious weed,1
cynara,1
burdock,1
artichoke thistle,1
greater burdock,1
pieridae,1
locust,1
car,1
automotive design,1
sports car,1
classic,1
antique car,1
jaguar e type,1
automotive exterior,1
city car,1
hornbill,1
bamboo,1
red,1
male,1
human,1
glasses,1
knit cap,1
beanie,1
knitting,1
mallard,1
darkness,1
sphere,1
plain,1
white tailed deer,1
sculpture,1
statue,1
monument,1
carving,1
brick,1
stone carving,1
relief,1
toucan,1
sorbus,1
heteromeles,1
pistacia lentiscus,1
rowan,1
highland,1
loch,1
fell,1
ridge,1
mountain,1
hill,1
lake district,1
geology,1
bedrock,1
formation,1
outcrop,1
limestone,1
cow parsley,1
parsley family,1
anthriscus,1
apiales,1
meadow,1
thorns spines and prickles,1
floor,1
beam,1
sunflower,1
sunflower seed,1
pezizales,1
agaricomycetes,1
auriculariales,1
horn,1
goats,1
cattle like mammal,1
prunus spinosa,1
primula,1
annual plant,1
wildflower,1
lighting,1
light fixture,1
flowerpot,1
road surface,1
asphalt,1
pine family,1
conifer,1
sign,1
signage,1
houseplant,1
grain,1
primate,1
ivy,1
yard,1
lawn,1
backyard,1
silhouette,1
wire,1
grove,1
black,1
swan,1
buzzard,1
great egret,1
great grey owl,1
roller,1
purple,1
photomontage,1
daytime,1
transport,1
rolling stock,1
train,1
rail transport,1
roof,1
fur,1
heat,1
eurasian golden oriole,1
mudflat,1
coast,1
steppe,1
ocean,1
wave,1
ice,1
egret,1
geological phenomenon,1
blizzard,1
winter storm,1
waterfall,1
stream,1
rapid,1
path,1
road,1
state park,1
symmetry,1
afterglow,1
red sky at morning,1
flightless bird,1
penguin,1
