label,count
bird,1864
fauna,1841
beak,1800
finch,1516
wildlife,1491
perching bird,1170
organism,876
emberizidae,809
old world flycatcher,641
branch,585
tree,472
sparrow,438
feather,411
twig,301
bird feeder,272
wing,250
flora,214
bird food,213
ecosystem,201
plant,178
house sparrow,165
grass,135
house finch,131
old world oriole,124
goldfinch,119
bird supply,116
leaf,111
parakeet,111
sky,110
ortolan bunting,73
grass family,67
nightingale,64
wren,55
canary,48
close up,42
common pet parakeet,37
parrot,36
brambling,29
wood,27
perico,25
spring,24
cage,24
forest,24
nature reserve,23
jungle,22
eurasian golden oriole,21
water,20
woodland,18
vegetation,17
songbird,16
cuculiformes,16
lark,15
flower,14
eye,13
coraciiformes,13
plant stem,12
plant community,12
hummingbird,12
boat,12
water transportation,12
boating,12
watercraft rowing,12
vertebrate,12
yellow,11
ecoregion,11
rowing,11
bluebird,10
morning,10
piciformes,10
biome,10
chickadee,10
waterway,10
blossom,9
trunk,9
bird of prey,9
mode of transport,9
macro photography,8
water bird,8
bird nest,8
boats and boating equipment and supplies,8
herb,7
canoe,7
falcon,6
atlantic canary,6
mammal,6
house,6
european robin,6
pollinator,6
nest,6
insect,6
swallow,6
robin,5
winter,5
evergreen,5
rainforest,5
oar,5
ducks geese and swans,5
waterfowl,5
outdoor structure,4
pine family,4
terrestrial animal,4
window,4
tail,4
recreation,4
outdoor recreation,4
river,4
snow,4
bird bath,4
swan,4
birdhouse,3
macaw,3
lovebird,3
junco,3
fruit tree,3
darkness,3
blackbird,3
squirrel,3
rodent,3
snout,3
jay,3
soil,3
watercraft,3
canoeing,3
galliformes,3
deciduous,3
shrub,3
invertebrate,3
mushroom,3
agaricaceae,3
agaricus,3
edible mushroom,3
still life photography,3
computer wallpaper,3
egg,3
facade,3
autumn,2
aquatic plant,2
amphibian,2
old growth forest,2
duck,2
cloud,2
line,2
angle,2
garden,2
fence,2
net,2
christmas,2
christmas decoration,2
fox squirrel,2
prairie,2
flight,2
flock,2
woody plant,2
wildflower,2
coxswain,2
vehicle,2
conifer,2
reptile,2
fungus,2
agaricomycetes,2
pleurotus eryngii,2
russula integra,2
oyster mushroom,2
medicinal mushroom,2
pink,2
flowering plant,2
green,2
zoo,2
lake,2
structure,2
marine biology,2
material,2
holly,2
stock photography,1
bulbul,1
pond,1
shrubland,1
stock dove,1
thorns spines and prickles,1
freezing,1
overhead power line,1
electrical supply,1
public utility,1
wire,1
electricity,1
wire fencing,1
chain link fencing,1
christmas tree,1
fir,1
cherry blossom,1
chair,1
flooring,1
glass,1
field,1
dessert,1
chocolate,1
chocolate syrup,1
frozen dessert,1
food,1
chocolate spread,1
air sports,1
daytime,1
bird migration,1
windsports,1
shorebird,1
larch,1
owl,1
root,1
team,1
crew,1
team sport,1
nature,1
kayak,1
chicken,1
serpent,1
lycaenid,1
subshrub,1
nettle family,1
nepeta,1
urtica,1
ocimum tenuiflorum,1
hyssopus,1
perilla frutescens,1
perilla,1
moth,1
pest,1
net winged insects,1
damselfly,1
dragonflies and damseflies,1
ingredient,1
petal,1
pollen,1
poppy family,1
rose,1
rose family,1
floribunda,1
garden roses,1
rosa centifolia,1
rose order,1
grassland,1
painting,1
birch,1
frog,1
ranidae,1
hand,1
shed,1
black and white,1
monochrome photography,1
monochrome,1
scrap,1
road surface,1
asphalt,1
sculpture,1
building,1
ivy,1
flowerpot,1
houseplant,1
cut flowers,1
wall,1
kite,1
accipitriformes,1
sunlight,1
spruce,1
text,1
font,1
artwork,1
lighting,1
geological phenomenon,1
event,1
sport venue,1
sports,1
product,1
landscape,1
moss,1
indigo bunting,1
steel,1
metal,1
pattern,1
mesh,1
rope,1
fruit,1
head,1
whiskers,1
beehive,1
membrane winged insect,1
