label,count
fauna,2120
bird,2110
beak,2058
sparrow,1491
wildlife,1441
perching bird,1423
house sparrow,1296
finch,1091
organism,677
feather,663
emberizidae,620
old world flycatcher,450
branch,433
wren,423
tree,362
flora,226
wing,223
ecosystem,214
close up,198
grass,197
plant,182
twig,174
leaf,164
lark,137
sky,125
house finch,120
nightingale,103
bird feeder,95
bird food,92
blackbird,58
grass family,56
songbird,52
water,47
cuculiformes,44
brambling,41
eye,36
wood,34
flower,30
nature reserve,30
bird of prey,28
plant community,26
falcon,25
hawk,23
ortolan bunting,21
vegetation,21
ecoregion,19
bird supply,19
water bird,19
insect,17
piciformes,16
garden,15
crow,15
outdoor structure,14
cage,14
herb,13
spring,13
buzzard,13
cinclidae,13
grassland,12
bird bath,12
terrestrial animal,12
eagle,12
rock,11
winter,11
flowering plant,11
cloud,11
crow like bird,11
pigeons and doves,10
snow,10
macro photography,10
birdhouse,10
duck,10
parakeet,10
starling,10
vertebrate,10
freezing,9
shrub,9
american crow,9
wall,8
morning,8
snout,8
blossom,8
chickadee,8
accipitriformes,8
tail,8
pond,7
window,7
ducks geese and swans,7
pollinator,7
jungle,7
new caledonian crow,7
mode of transport,7
woodpecker,6
hummingbird,6
shorebird,6
rook,6
galliformes,6
reptile,6
bluebird,6
jay,6
sunset,6
sunrise,6
dawn,6
atmosphere,6
daytime,6
invertebrate,6
flight,6
prairie,5
angle,5
zoo,5
shrubland,5
bird nest,5
house,5
soil,5
biome,5
evergreen,5
moths and butterflies,5
afterglow,5
membrane winged insect,5
kite,5
amphibian,4
pest,4
green,4
yard,4
berry,4
junco,4
swallow,4
robin,4
raven,4
common pet parakeet,4
evening,4
horizon,4
wood stain,3
water resources,3
reflection,3
fence,3
stock dove,3
lawn,3
waterfowl,3
yellow,3
fruit,3
net,3
public utility,3
wire fencing,3
chain link fencing,3
conifer,3
pink,3
hand,3
fur,3
road surface,3
plant stem,3
forest,3
ice,3
darkness,3
rainforest,3
red sky at morning,3
livestock,3
mammal,3
ruffed grouse,3
stone wall,2
line,2
furniture,2
backyard,2
landscape,2
wetland,2
spruce,2
field,2
meadow,2
asphalt,2
seabird,2
recreation,2
holly,2
aquifoliaceae,2
blue,2
pasture,2
subshrub,2
night,2
harrier,2
crop,2
purple,2
onion genus,2
scrap,2
rose family,2
groundcover,2
roof,2
fly,2
rodent,2
goldfinch,2
grapevine family,2
butterfly,2
aviation,2
air travel,2
parrot,2
product,2
brickwork,1
brick,1
material,1
bricklayer,1
stream,1
river,1
watercourse,1
picket fence,1
home fencing,1
table,1
picnic,1
black swan,1
swan,1
mulberry,1
bramble,1
blackberry,1
lumber,1
plywood,1
hardwood,1
floor,1
beam,1
plank,1
animal shelter,1
sunlight,1
bank,1
pine family,1
fir,1
textile,1
ceiling,1
lace,1
interior design,1
barbed wire,1
electrical supply,1
electricity,1
finger,1
street,1
road,1
plant pathology,1
plastic,1
macaque,1
old world monkey,1
new world monkey,1
primate,1
walkway,1
small to medium sized cats,1
home,1
frost,1
silver buffaloberry,1
nest,1
canary,1
vacation,1
fun,1
whiskers,1
mallard,1
serpent,1
agriculture,1
plantation,1
woodland,1
chipmunk,1
motor vehicle,1
vehicle,1
dusk,1
annual plant,1
petal,1
european robin,1
facade,1
chokeberry,1
arctostaphylos,1
pistacia lentiscus,1
pig like mammal,1
pig,1
domestic pig,1
straw,1
goats,1
goat,1
cow goat family,1
goat antelope,1
horn,1
prairie dog,1
squirrel,1
bee,1
honey bee,1
sphere,1
hydrangea,1
hydrangeaceae,1
hydrangea serrata,1
cornales,1
botanical garden,1
wildflower,1
coraciiformes,1
bulbul,1
emmer,1
food grain,1
wheat,1
rye,1
phragmites,1
commodity,1
cardinal,1
caterpillar,1
larva,1
arthropod,1
macaw,1
roller,1
gravel,1
geology,1
pebble,1
rubble,1
bedrock,1
waste,1
land lot,1
black,1
black and white,1
monochrome photography,1
photography,1
monochrome,1
still life photography,1
outcrop,1
hare,1
rabits and hares,1
rabbit,1
domestic rabbit,1
freshwater aquarium,1
aquarium,1
shed,1
chicken,1
grouse,1
orangutan,1
vulture,1
