label,count
bird,1519
fauna,1506
beak,1451
wildlife,996
pigeons and doves,975
stock dove,792
grass,640
feather,606
tree,603
organism,435
branch,345
sky,267
ecosystem,245
wing,225
plant,223
leaf,208
grass family,163
seabird,162
flora,159
water,132
close up,130
emberizidae,120
water bird,101
nature reserve,97
twig,92
bird of prey,61
vegetation,48
black and white,47
cuculiformes,45
ecoregion,45
grassland,44
perching bird,43
plant community,37
monochrome photography,35
nest,33
garden,33
photography,32
bird nest,31
vulture,31
cloud,30
meadow,28
landscape,27
biome,26
performance,26
hawk,25
jungle,24
woodland,24
monochrome,24
duck,24
finch,24
forest,24
charadriiformes,24
green,23
lawn,22
bird feeder,22
music,22
pasture,21
jay,21
entertainment,21
concert,21
field,20
ducks geese and swans,20
black,20
musician,20
egg,19
woody plant,19
atmosphere,18
wetland,18
reflection,18
galliformes,18
bank,17
soil,17
old world flycatcher,17
shrubland,17
stage,17
eye,16
pond,16
singing,16
guitarist,16
winter,15
gull,15
performing arts,15
prairie,14
flight,14
roof,14
morning,14
window,14
terrestrial animal,14
shorebird,13
parrot,13
buzzard,13
tail,13
yard,13
outdoor structure,13
spring,13
bird bath,13
wood,13
photograph,13
bluebird,12
snow,12
freezing,12
vertebrate,12
house,11
nature,11
flower,11
dog like mammal,11
string instrument,11
parakeet,10
falcon,10
river,10
eagle,10
recreation,10
goose,9
mammal,9
dog,9
event,9
zoo,8
waterfowl,8
property,8
shrub,8
rock,8
deciduous,8
blackbird,8
snout,8
horizon,8
plain,7
bird migration,7
wall,7
fence,7
sunlight,7
evening,7
building,7
backyard,7
daytime,7
sea,7
bird food,7
wildflower,7
white,7
steppe,7
rock concert,7
electricity,6
overhead power line,6
line,6
flock,6
computer wallpaper,6
facade,6
waterway,6
highland,6
hill,6
stock photography,6
snapshot,6
darkness,6
meteorological phenomenon,6
electrical supply,5
rural area,5
animal migration,5
macaw,5
cage,5
herb,5
silhouette,5
body of water,5
path,5
crow like bird,5
watercourse,5
shore,5
man,5
wilderness,5
mountainous landforms,5
calm,5
sparrow,5
crane like bird,5
water resources,5
drums,5
plucked string instruments,5
guitar,5
wire,4
public utility,4
swallow,4
mist,4
statue,4
puffin,4
autumn,4
junco,4
evergreen,4
coast,4
mountain,4
standing,4
fun,4
dog breed,4
rainforest,4
coastal and oceanic landforms,4
home,4
road surface,4
kite,4
hornbill,4
neck,4
sunrise,4
dawn,4
crowd,4
sand,3
american crow,3
still life photography,3
brickwork,3
brick,3
rook,3
landmark,3
real estate,3
monument,3
ocean,3
blossom,3
advertising,3
sign,3
bridge,3
mushroom,3
fungus,3
crow,3
flowering plant,3
infrastructure,3
road,3
car,3
motor vehicle,3
hunting,3
male,3
beach,3
blue,3
air travel,3
land lot,3
common pet parakeet,3
lovebird,3
lighting,3
vehicle,3
water feature,3
ibis,3
blue jay,3
sunset,3
accipitriformes,3
signage,3
social group,3
singer,3
music artist,3
microphone,3
drummer,3
public event,3
mode of transport,3
piciformes,2
woodpecker,2
nightingale,2
electrical wiring,2
font,2
residential area,2
fog,2
guard rail,2
city,2
edible mushroom,2
agaricaceae,2
fur,2
street,2
human behavior,2
headgear,2
girl,2
soldier,2
savanna,2
tundra,2
estate,2
grouse,2
net,2
light fixture,2
street light,2
boating,2
cottage,2
old growth forest,2
aviation,2
cumulus,2
primate,2
transmission tower,2
energy,2
painting,2
swan,2
farm,2
macro photography,2
sculpture,2
area,2
pheasant,2
phasianidae,2
bassist,2
trunk,2
sun,2
screenshot,2
night,2
musical instrument,2
fodder,2
dome,2
glass,2
technology,1
marsh,1
product,1
cormorant,1
hedge,1
stone wall,1
harrier,1
groundcover,1
ivy,1
courtyard,1
heron,1
tower,1
matsutake,1
medicinal mushroom,1
european herring gull,1
tortoise,1
spider web,1
agaricomycetes,1
agaricus,1
bird supply,1
raven,1
new caledonian crow,1
botanical garden,1
boulder,1
cat,1
small to medium sized cats,1
cat like mammal,1
whiskers,1
automotive design,1
loch,1
shooting,1
gun,1
person,1
fishing,1
emotion,1
interaction,1
human,1
smile,1
sunglasses,1
glasses,1
vision care,1
eyewear,1
personal protective equipment,1
troop,1
war,1
outdoor recreation,1
agriculture,1
visual arts,1
adventure,1
labrador retriever,1
english springer spaniel,1
spaniel,1
dog breed group,1
walking,1
tropical and subtropical coniferous forests,1
sphere,1
lamp,1
wren,1
sitting,1
vacation,1
water transportation,1
boat,1
watercraft,1
fishing vessel,1
channel,1
neighbourhood,1
historic house,1
plant stem,1
pelican,1
asphalt,1
deer,1
white tailed deer,1
dusk,1
watercolor paint,1
pattern,1
pine family,1
material,1
wind,1
old world monkey,1
new world monkey,1
spider,1
arachnid,1
invertebrate,1
arthropod,1
wolf spider,1
insect,1
tangle web spider,1
pest,1
house sparrow,1
yellow,1
narcissus,1
amaryllis family,1
condor,1
daylighting,1
emydidae,1
ruffed grouse,1
squirrel,1
houseplant,1
floristry,1
domesticated turkey,1
fowl,1
string instrument accessory,1
spruce,1
owl,1
theatre,1
heat,1
partridge,1
perico,1
photo caption,1
frost,1
geological phenomenon,1
winter storm,1
blizzard,1
ice,1
dish,1
food,1
cuisine,1
recipe,1
bass guitar,1
wire fencing,1
tourist attraction,1
plaza,1
historic site,1
place of worship,1
hand,1
finger,1
land vehicle,1
automotive exterior,1
windshield,1
family car,1
bicycle frame,1
bench,1
log cabin,1
performance art,1
drum,1
light,1
cockatoo,1
ciconiiformes,1
memorial,1
text,1
lavender,1
grilling,1
cinclidae,1
skyline,1
panorama,1
metropolis,1
